CREATE VIEW
Q5 - fornecedores com maior total pago (57a legislatura - Cota Parlamentar)
=============================================================================

Resumo executivo - totais por ano e concentracao no top 30
 ano_dados | fornecedores | lancamentos |  total_pago  | pct_top_30 
-----------+--------------+-------------+--------------+------------
      2023 |        20101 |      213240 | 245280034.40 |      31.58
      2024 |        21102 |      220401 | 263302700.07 |      28.81
      2025 |        20996 |      200157 | 249254389.30 |      24.07
      2026 |        13463 |       59581 |  80671674.70 |      12.13
(4 rows)


Tabela principal - top 30 fornecedores por ano (maior total pago)
 ano_dados | posicao |                  fornecedor                  | qtd_lancamentos | total_pago  | pct_total 
      2025 |       6 | NOVACAR LOCADORA VEICULOS                    |             272 |  1543053.67 |      0.62
      2025 |       7 | HPE AUTOMOTORES BRASIL                       |             165 |  1447612.19 |      0.58
      2025 |       8 | SUPREMA MOBILIDADE                           |             253 |  1419538.37 |      0.57
      2025 |       9 | LOCALIZA RENT A CAR                          |             436 |  1116790.04 |      0.45
      2025 |      10 | VIA LOCADORA AUTOMOVEIS                      |             189 |  1009318.19 |      0.40
      2025 |      11 | TELEFONICA BRASIL VIVO                       |            1634 |   831086.21 |      0.33
      2025 |      12 | PONTA LOCACAO VEICULOS                       |             129 |   809978.00 |      0.32
      2025 |      13 | CELULAR FUNCIONAL                            |            3333 |   808218.01 |      0.32
      2025 |      14 | ELDORADO COMUNICACAO JORNALISMO              |             145 |   772728.57 |      0.31
      2025 |      15 | WORKING ASSOCIACAO INTEGRACAO PROFISSIONAL   |              64 |   759030.00 |      0.30
      2025 |      16 | DALETH VEICULOS                              |             155 |   720208.54 |      0.29
      2025 |      17 | RIO TERCEIRIZACAO                            |             101 |   683681.91 |      0.27
      2025 |      18 | PONTUAL LOC CAR                              |             131 |   618962.42 |      0.25
      2025 |      19 | NOVITTA RENT A CAR TRANSPORTE                |              91 |   608930.24 |      0.24
      2025 |      20 | MAIS PROPAGANDA                              |              23 |   507572.50 |      0.20
      2025 |      21 | FRAME COMUNICACAO DIGITAL                    |              25 |   505100.00 |      0.20
      2025 |      22 | A LIMA CARDOSO                               |              26 |   490691.27 |      0.20
      2025 |      23 | FLEX MARKETING DIRETO                        |              84 |   485580.40 |      0.19
      2025 |      24 | WMS ARTIGOS PAPELARIA                        |             748 |   482777.05 |      0.19
      2025 |      25 | NACIONAL RENT A CAR LOCACAO VEICULOS         |              86 |   481909.93 |      0.19
      2025 |      26 | CARNAUBA ASSESSORIA COM PIBLICIDADE          |              13 |   450167.80 |      0.18
      2025 |      27 | CK INFO DESIGN MIDIA SOCIAIS                 |              24 |   450000.00 |      0.18
      2025 |      28 | CIA AEREA TAM                                |             230 |   438584.62 |      0.18
      2025 |      29 | 2HC CRIATIVIDADE PRODUCOES                   |              31 |   437960.10 |      0.18
      2025 |      30 | LIBRE COMUNICACAO MARKETING                  |              53 |   430000.00 |      0.17
      2026 |       1 | FACEBOOK ONLINE BRASIL                       |             292 |  1341251.88 |      1.66
      2026 |       2 | PANTANAL VEICULOS                            |             210 |  1010450.31 |      1.25
      2026 |       3 | NOVACAR LOCADORA VEICULOS                    |              96 |   617699.80 |      0.77
      2026 |       4 | HPE AUTOMOTORES BRASIL                       |              45 |   472782.00 |      0.59
      2026 |       5 | TELEFONICA BRASIL VIVO                       |             748 |   399097.48 |      0.49
      2026 |       6 | SUPREMA MOBILIDADE                           |              66 |   397930.00 |      0.49
      2026 |       7 | ELDORADO COMUNICACAO JORNALISMO              |              60 |   391100.00 |      0.48
      2026 |       8 | LOCALIZA RENT A CAR                          |             137 |   368907.77 |      0.46
      2026 |       9 | CTA CLEITON TAXI AEREO                       |              12 |   366400.00 |      0.45
      2026 |      10 | FRAME COMUNICACAO DIGITAL                    |              14 |   263731.63 |      0.33
      2026 |      11 | PONTA LOCACAO VEICULOS                       |              32 |   261150.00 |      0.32
      2026 |      12 | EVAG COMUNICACAO TECNOLOGIA                  |              29 |   255909.70 |      0.32
      2026 |      13 | A LIMA CARDOSO                               |              15 |   235786.80 |      0.29
      2026 |      14 | DALETH VEICULOS                              |              43 |   233970.00 |      0.29
      2026 |      15 | NACIONAL RENT A CAR LOCACAO VEICULOS         |              27 |   230000.00 |      0.29
      2026 |      16 | VIA LOCADORA AUTOMOVEIS                      |              39 |   219751.26 |      0.27
      2026 |      17 | RIO TERCEIRIZACAO                            |              26 |   214900.00 |      0.27
      2026 |      18 | MULTIPLICAR                                  |              13 |   214800.00 |      0.27
      2026 |      19 | PONTUAL LOC CAR                              |              38 |   211174.00 |      0.26
      2026 |      20 | AUTO LESTE                                   |              18 |   208000.00 |      0.26
      2026 |      21 | NOVITTA RENT A CAR TRANSPORTE                |              30 |   206500.00 |      0.26
      2026 |      22 | TAXI AEREO VALE MADEIRA                      |               5 |   200000.00 |      0.25
      2026 |      23 | CK INFO DESIGN MIDIA SOCIAIS                 |               9 |   187500.00 |      0.23
      2026 |      24 | N N Y MARKETING DIRETO SOLUCOES INTELIGENTES |               8 |   187000.00 |      0.23
      2026 |      25 | FLEX MARKETING DIRETO                        |              29 |   184725.00 |      0.23
      2026 |      26 | COMUNIK COMUNICACAO                          |               5 |   183280.00 |      0.23
      2026 |      27 | ESTRELA LOGISTICA                            |              32 |   182133.76 |      0.23
      2026 |      28 | SHEKINAH LOCACAO VEICULOS                    |              25 |   181100.00 |      0.22
      2026 |      29 | AMAZON STUDIO PRODUCOES                      |               8 |   179000.00 |      0.22
      2026 |      29 | S7                                           |               6 |   179000.00 |      0.22
(120 rows)


Ranking global - todos os anos da 57a legislatura consolidados
 ano_dados | posicao |                 fornecedor                 | qtd_lancamentos | total_pago  | pct_total 
-----------+---------+--------------------------------------------+-----------------+-------------+-----------
 GLOBAL    |       1 | TAM                                        |           79165 | 87623918.91 |     10.45
 GLOBAL    |       2 | GOL                                        |           24162 | 31469380.06 |      3.75
 GLOBAL    |       3 | AZUL                                       |           21786 | 23394546.38 |      2.79
 GLOBAL    |       4 | PANTANAL VEICULOS                          |            2495 | 10714599.70 |      1.28
 GLOBAL    |       5 | FACEBOOK ONLINE BRASIL                     |            2493 |  8516146.18 |      1.02
 GLOBAL    |       6 | SUPREMA MOBILIDADE                         |             933 |  5073211.87 |      0.61
 GLOBAL    |       7 | NOVACAR LOCADORA VEICULOS                  |             883 |  4754360.51 |      0.57
 GLOBAL    |       8 | HPE AUTOMOTORES BRASIL                     |             449 |  3934237.77 |      0.47
 GLOBAL    |       9 | LOCALIZA RENT A CAR                        |            1552 |  3797181.38 |      0.45
 GLOBAL    |      10 | ELDORADO COMUNICACAO JORNALISMO            |             488 |  2940884.64 |      0.35
 GLOBAL    |      11 | VIA LOCADORA AUTOMOVEIS                    |             546 |  2936790.56 |      0.35
 GLOBAL    |      12 | DALETH VEICULOS                            |             612 |  2690192.10 |      0.32
 GLOBAL    |      13 | TELEFONICA BRASIL VIVO                     |            5489 |  2679242.07 |      0.32
 GLOBAL    |      14 | CELULAR FUNCIONAL                          |           10750 |  2443960.32 |      0.29
 GLOBAL    |      15 | RIO TERCEIRIZACAO                          |             355 |  2195739.57 |      0.26
 GLOBAL    |      16 | CIA AEREA TAM                              |            1218 |  2022975.00 |      0.24
 GLOBAL    |      17 | PONTA LOCACAO VEICULOS                     |             316 |  1901407.65 |      0.23
 GLOBAL    |      18 | WORKING ASSOCIACAO INTEGRACAO PROFISSIONAL |             166 |  1887732.34 |      0.23
 GLOBAL    |      19 | PONTUAL LOC CAR                            |             385 |  1857775.82 |      0.22
