CREATE VIEW
Q5 - fornecedores com maior total pago (57a Legislatura - Cota Parlamentar)
=============================================================================

Resumo executivo - totais por ano e concentracao no top 10
 ano_dados | fornecedores | lancamentos |  total_pago  | pct_top_10 
-----------+--------------+-------------+--------------+------------
      2023 |        21868 |      213240 | 245280034.40 |      26.57
      2024 |        22288 |      220401 | 263302700.07 |      23.76
      2025 |        21953 |      200157 | 249254389.30 |      18.63
      2026 |        12813 |       51963 |  70012026.95 |       6.25
(4 rows)


Tabela principal - top 30 fornecedores por ano (maior total pago)
 ano_dados | posicao |                         fornecedor                          | cnpj_cpf | qtd_lancamentos | total_pago  | pct_total 
      2024 |      26 | FRAME COMUNICACAO DIGITAL LTDA                              |          |              24 |   448200.00 |      0.17
      2024 |      27 | LIBRE COMUNICAÇÃO E MARKETING EIRELI                        |          |              58 |   446680.00 |      0.17
      2024 |      28 | QUALIGRAFF IMPRESSOS E SERVIÇOS GRÁFICOS LTDA               |          |              14 |   443750.00 |      0.17
      2024 |      29 | ORBE PRODUTORA & SERVIÇOS LTDA                              |          |              16 |   439640.00 |      0.17
      2024 |      30 | FOGO COMUNICACAO LTDA                                       |          |              29 |   428834.30 |      0.16
      2025 |       1 | TAM                                                         |          |           19984 | 22885928.85 |      9.18
      2025 |       2 | GOL                                                         |          |            5308 |  7053684.29 |      2.83
      2025 |       3 | AZUL                                                        |          |            4762 |  5333548.08 |      2.14
      2025 |       4 | PANTANAL VEÍCULOS LTDA                                      |          |             713 |  3142114.77 |      1.26
      2025 |       5 | Facebook Serviços Online do Brasil Ltda.                    |          |             557 |  2186723.06 |      0.88
      2025 |       6 | HPE AUTOMOTORES DO BRASIL LTDA                              |          |             165 |  1447612.19 |      0.58
      2025 |       7 | SUPREMA MOBILIDADE LTDA                                     |          |             253 |  1419538.37 |      0.57
      2025 |       8 | FACEBOOK SERVIÇOS ONLINE DO BRASIL LTDA                     |          |             329 |  1064973.20 |      0.43
      2025 |       9 | VIA LOCADORA DE AUTOMOVEIS LTDA                             |          |             188 |  1005818.19 |      0.40
      2025 |      10 | NOVACAR LOCADORA DE VEICULOS LTDA                           |          |             158 |   893743.33 |      0.36
      2025 |      11 | PONTA LOCAÇÃO DE VEÍCULOS LTDA                              |          |             129 |   809978.00 |      0.32
      2025 |      12 | CELULAR FUNCIONAL                                           |          |            3333 |   808218.01 |      0.32
      2025 |      13 | ELDORADO COMUNICACAO E JORNALISMO LTDA                      |          |             145 |   772728.57 |      0.31
      2025 |      14 | WORKING ASSOCIAÇÃO DE INTEGRAÇÃO PROFISSIONAL               |          |              64 |   759030.00 |      0.30
      2025 |      15 | DALETH VEICULOS LTDA EPP                                    |          |             155 |   720208.54 |      0.29
      2025 |      16 | SERV RIO TERCEIRIZAÇÃO E SERVIÇOS                           |          |             101 |   683681.91 |      0.27
      2025 |      17 | Novacar Locadora de Veículos Ltda                           |          |             113 |   644310.34 |      0.26
      2025 |      18 | Pontual Loc Car ltda                                        |          |             131 |   618962.42 |      0.25
      2025 |      19 | NOVITTA RENT A CAR TRANSPORTE LTDA ME                       |          |              91 |   608930.24 |      0.24
      2025 |      20 | MAIS PROPAGANDA LTDA.                                       |          |              23 |   507572.50 |      0.20
      2025 |      21 | TELEFÔNICA BRASIL S/A - VIVO                                |          |            1006 |   506546.59 |      0.20
      2025 |      22 | FRAME COMUNICACAO DIGITAL LTDA                              |          |              25 |   505100.00 |      0.20
      2025 |      23 | A DE LIMA CARDOSO                                           |          |              26 |   490691.27 |      0.20
      2025 |      24 | FLEX MARKETING DIRETO LTDA                                  |          |              84 |   485580.40 |      0.19
      2025 |      25 | Nacional Rent a Car Locação de Veiculos LTDA                |          |              86 |   481909.93 |      0.19
      2025 |      26 | WMS COMERCIO DE ARTIGOS DE PAPELARIA LTDA                   |          |             744 |   481183.25 |      0.19
      2025 |      27 | CARNAUBA ASSESSORIA DE COM E PIBLICIDADE                    |          |              13 |   450167.80 |      0.18
      2025 |      28 | CK INFO DESIGN E MIDIA SOCIAIS                              |          |              24 |   450000.00 |      0.18
      2025 |      29 | Cia Aérea - TAM                                             |          |             230 |   438584.62 |      0.18
      2025 |      30 | 2HC CRIATIVIDADE E PRODUÇÕES LTDA                           |          |              31 |   437960.10 |      0.18
      2026 |       1 | Facebook Serviços Online do Brasil Ltda.                    |          |             234 |  1033866.09 |      1.48
      2026 |       2 | PANTANAL VEÍCULOS LTDA                                      |          |             172 |   844571.57 |      1.21
      2026 |       3 | NOVACAR LOCADORA DE VEICULOS LTDA                           |          |              81 |   512399.80 |      0.73
      2026 |       4 | HPE AUTOMOTORES DO BRASIL LTDA                              |          |              40 |   423477.00 |      0.60
      2026 |       5 | SUPREMA MOBILIDADE LTDA                                     |          |              59 |   361460.00 |      0.52
      2026 |       6 | ELDORADO COMUNICACAO E JORNALISMO LTDA                      |          |              46 |   301800.00 |      0.43
      2026 |       7 | CTA - CLEITON TAXI AEREO LTDA                               |          |               9 |   240650.00 |      0.34
      2026 |       8 | PONTA LOCAÇÃO DE VEÍCULOS LTDA                              |          |              28 |   237450.00 |      0.34
      2026 |       9 | DALETH VEICULOS LTDA EPP                                    |          |              40 |   214750.00 |      0.31
      2026 |      10 | Nacional Rent a Car Locação de Veiculos LTDA                |          |              24 |   205500.00 |      0.29
      2026 |      11 | VIA LOCADORA DE AUTOMOVEIS LTDA                             |          |              36 |   203451.26 |      0.29
      2026 |      12 | SERV RIO TERCEIRIZAÇÃO E SERVIÇOS                           |          |              25 |   202000.00 |      0.29
